uid,airline,airline_id,source_airport,source_airport_id,destination_airport,destination_airport_id,codeshare,stops,equipment,airports-extended-geo-uk-only-join_country,airports-extended-geo-uk-only-join_type,layer,path,dest-airports_name,dest-airports_city,dest-airports_country,dest-airports_lat,dest-airports_long,dest-airports_type,src-airports_name,src-airports_city,src-airports_country,src-airports_lat,src-airports_long,src-airports_type
5829,AA,"24",LHR,"507",DEL,"3093",Y,0,"777",United Kingdom,airport,routes-from-uk-filtered,/home/kieran/github/land-air-sea/datasets/openFlights/qgis/routes-from-uk.geojson|geometrytype=None|uniqueGeometryType=yes,Indira Gandhi International Airport,Delhi,India,28.5665,77.103104,airport,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941,airport
5830,AA,"24",LHR,"507",DEN,"3751",Y,0,"777",United Kingdom,airport,routes-from-uk-filtered,/home/kieran/github/land-air-sea/datasets/openFlights/qgis/routes-from-uk.geojson|geometrytype=None|uniqueGeometryType=yes,Denver International Airport,Denver,United States,39.861698150635,-104.672996521,airport,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941,airport
5831,AA,"24",LHR,"507",DFW,"3670",,0,77W 777,United Kingdom,airport,routes-from-uk-filtered,/home/kieran/github/land-air-sea/datasets/openFlights/qgis/routes-from-uk.geojson|geometrytype=None|uniqueGeometryType=yes,Dallas Fort Worth International Airport,Dallas-Fort Worth,United States,32.896801,-97.038002,airport,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941,airport
5832,AA,"24",LHR,"507",DUB,"599",Y,0,"319",United Kingdom,airport,routes-from-uk-filtered,/home/kieran/github/land-air-sea/datasets/openFlights/qgis/routes-from-uk.geojson|geometrytype=None|uniqueGeometryType=yes,Dublin Airport,Dublin,Ireland,53.421299,-6.27007,airport,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941,airport
5833,AA,"24",LHR,"507",DUS,"345",Y,0,319 320,United Kingdom,airport,routes-from-uk-filtered,/home/kieran/github/land-air-sea/datasets/openFlights/qgis/routes-from-uk.geojson|geometrytype=None|uniqueGeometryType=yes,Düsseldorf Airport,Duesseldorf,Germany,51.289501,6.76678,airport,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941,airport
5834,AA,"24",LHR,"507",DXB,"2188",Y,0,744 777,United Kingdom,airport,routes-from-uk-filtered,/home/kieran/github/land-air-sea/datasets/openFlights/qgis/routes-from-uk.geojson|geometrytype=None|uniqueGeometryType=yes,Dubai International Airport,Dubai,United Arab Emirates,25.2527999878,55.3643989563,airport,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941,airport
5835,AA,"24",LHR,"507",EBB,"1187",Y,0,"767",United Kingdom,airport,routes-from-uk-filtered,/home/kieran/github/land-air-sea/datasets/openFlights/qgis/routes-from-uk.geojson|geometrytype=None|uniqueGeometryType=yes,Entebbe International Airport,Entebbe,Uganda,0.042386,32.443501,airport,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941,airport
5836,AA,"24",LHR,"507",EDI,"535",Y,0,767 321 320 319,United Kingdom,airport,routes-from-uk-filtered,/home/kieran/github/land-air-sea/datasets/openFlights/qgis/routes-from-uk.geojson|geometrytype=None|uniqueGeometryType=yes,Edinburgh Airport,Edinburgh,United Kingdom,55.9500007629395,-3.37249994277954,airport,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941,airport
5837,AA,"24",LHR,"507",EWR,"3494",Y,0,777 787,United Kingdom,airport,routes-from-uk-filtered,/home/kieran/github/land-air-sea/datasets/openFlights/qgis/routes-from-uk.geojson|geometrytype=None|uniqueGeometryType=yes,Newark Liberty International Airport,Newark,United States,40.6925010681152,-74.168701171875,airport,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941,airport
5838,AA,"24",LHR,"507",FCO,"1555",Y,0,321 320 319,United Kingdom,airport,routes-from-uk-filtered,/home/kieran/github/land-air-sea/datasets/openFlights/qgis/routes-from-uk.geojson|geometrytype=None|uniqueGeometryType=yes,Leonardo da Vinci–Fiumicino Airport,Rome,Italy,41.8002778,12.2388889,airport,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941,airport
5839,AA,"24",LHR,"507",FRA,"340",Y,0,319 320,United Kingdom,airport,routes-from-uk-filtered,/home/kieran/github/land-air-sea/datasets/openFlights/qgis/routes-from-uk.geojson|geometrytype=None|uniqueGeometryType=yes,Frankfurt am Main Airport,Frankfurt,Germany,50.033333,8.570556,airport,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941,airport
