uid,equipment,dest_name,dest_city,dest_country,dest_lat,dest_long
14640,320,Larnaca International Airport,Larnaca,Cyprus,34.8750991821289,33.6249008178711
14641,777,Orlando International Airport,Orlando,United States,28.4293994903564,-81.3089981079102
14642,319 734,Malta International Airport,Malta,Malta,35.857498,14.4775
14643,777,Malé International Airport,Male,Maldives,4.19183015823364,73.5290985107422
14644,777,Sir Seewoosagur Ramgoolam International Airport,Plaisance,Mauritius,-20.430201,57.683601
14645,320 734 319,Naples International Airport,Naples,Italy,40.886002,14.2908
14646,320 734 319,Nice-Côte d'Azur Airport,Nice,France,43.6584014893,7.21586990356
14647,DH4,Newquay Cornwall Airport,Newquai,United Kingdom,50.440601348877,-4.99540996551514
14648,737,Olbia Costa Smeralda Airport,Olbia,Italy,40.898701,9.51763
14649,319,Paphos International Airport,Paphos,Cyprus,34.7179985046387,32.4856986999512
14650,734 319,Pisa International Airport,Pisa,Italy,43.683899,10.3927
14651,734 319 320,Menara Airport,Marrakech,Morocco,31.6068992615,-8.03629970551
14652,734,Thessaloniki Macedonia International Airport,Thessaloniki,Greece,40.5196990966797,22.9708995819092
14653,734,Salzburg Airport,Salzburg,Austria,47.7933006287,13.0043001175
14654,320,Tenerife South Airport,Tenerife,Spain,28.044500351,-16.5725002289
14655,734,Tirana International Airport Mother Teresa,Tirana,Albania,41.4146995544,19.7206001282
14656,777,Tampa International Airport,Tampa,United States,27.9755001068115,-82.533203125
